bonus,deferral_payments,deferred_income,director_fees,exercised_stock_options,expenses,loan_advances,long_term_incentive,other,restricted_stock,restricted_stock_deferred,salary,total_payments,total_stock_value,from_messages,from_poi_to_this_person,from_this_person_to_poi,shared_receipt_with_poi,to_messages,poi
0.21875,0.03342021502403321,0.0,0.0,0.5762767471098494,0.20523423805423083,0.0,0.31426134316366705,0.016876792819580513,0.18618215497489649,0.9270363965812531,0.3785223593440947,0.004876892714530628,0.45950590846095235,18.0,42.0,4.0,864.0,905.0,True
0.7,0.03342021502403321,1.0,0.0,0.5604339348249978,0.1282375209277724,0.0,0.37314636627347664,0.0021353840433470796,0.46361020625410604,0.9270363965812531,1.0,0.08384253915996143,0.5317507033126446,108.0,88.0,30.0,2042.0,3627.0,True
0.024999999999999998,0.03342021502403321,0.9988109186602161,0.0,0.04729177361007726,0.10003365928930816,0.0,0.0,0.15186922360613872,0.05888348586551109,0.9270363965812531,0.19063439813256686,0.019350029021398294,0.05162754143488658,39.0,13.0,14.0,91.0,225.0,True
0.09999999999999999,0.03342021502403321,1.0,0.0,0.0,0.5164034393673802,0.0,0.11712734047312628,0.08759900958799212,0.06672892691042098,0.9270363965812531,0.20184781571876198,0.025614303806111315,0.0209366769709126,0.0,0.0,0.0,0.0,0.0,True
0.15625,0.03342021502403321,0.9250938680841665,0.0,0.0,0.15657252265445026,0.0,0.07293923117078172,4.691242406051355e-05,0.0085374347957626,0.9270363965812531,0.21614152609025086,0.015829473510052303,0.00346094739345721,144.0,199.0,25.0,2188.0,2598.0,True
0.0,0.03676517098434108,1.0,0.0,0.8957063016414396,0.34086805995724834,0.0,0.0,0.00027568288707165986,0.0,0.9270363965812531,0.0,0.0008796174399460223,0.6268065633738387,0.0,0.0,0.0,0.0,0.0,True
0.0,0.03342021502403321,1.0,0.0,0.24189062286016133,0.2358204779619082,0.0,0.0,0.014281261604429999,0.2422625750134097,0.9270363965812531,0.14254385570227615,0.0034791494803393433,0.2426823758252377,0.0,0.0,0.0,0.0,0.0,True
0.15,0.04242247977343376,0.9588909440912046,0.0,0.0,0.07218824722529431,0.0,0.0,0.009820720213820265,0.04730093985148317,0.9270363965812531,0.2596534738107622,0.014391145026719008,0.015102177188584873,40.0,240.0,11.0,1132.0,1758.0,True
0.875,0.09957952478736591,0.9143929920961903,0.0,1.0,0.4363992428845574,1.0,0.6996494367627687,1.0,0.9999999999999999,0.9270363965812531,0.9649613321118948,1.0,1.0,36.0,123.0,16.0,2411.0,4273.0,True
0.075,0.03342021502403321,1.0,0.0,0.011200759837784508,0.550692201098954,0.0,0.01380311165200059,0.01933525481216738,0.026678374446726775,0.9270363965812531,0.24744478779905296,0.01228550157492107,0.016735894091266437,16.0,52.0,6.0,874.0,873.0,True
0.0875,0.03342021502403321,1.0,0.0,0.01955658234169037,0.5552340194874171,0.0,0.05830411973023073,0.014523352879211415,0.08456468478482211,0.9270363965812531,0.27891452749946455,0.0153285455099355,0.03995892840914762,61.0,53.0,15.0,2271.0,2374.0,True
0.0875,0.10341616547212493,0.9714643306987301,0.0,0.04760742164755116,0.1454387291651185,0.0,0.0,0.00018822886197119635,0.019215206601627156,0.9270363965812531,0.22425125398422327,0.010613192322622738,0.03993516643785937,82.0,35.0,48.0,1258.0,1328.0,True
0.1625,0.03342021502403321,0.6044799288662835,0.0,0.0,0.24444949576636085,0.0,0.3373971952608857,0.02678293997844924,0.12155867747969845,0.9270363965812531,0.3965757726828513,0.023407568997361745,0.03740282793091964,0.0,0.0,0.0,0.0,0.0,True
0.09375,0.03342021502403321,1.0,0.0,0.01270845813299397,0.0,0.0,0.05923795738124326,0.07908392198290129,0.029881123399523115,0.9270363965812531,0.24555953702920474,0.02073172355607161,0.018751287657765604,0.0,0.0,0.0,0.0,0.0,False
0.521875,0.969093963298409,0.12080033420975878,0.0,0.05035290743226814,0.06062169144485778,0.0,0.05923795738124326,1.4672198471600946e-05,0.0085374347957626,0.7184911842333882,0.18173547457026182,0.04330292548962511,0.03608308234920695,2195.0,47.0,65.0,1407.0,2902.0,False
0.10625,0.03342021502403321,1.0,0.0,0.022280902647414214,0.3681014849429322,0.0,0.16165963842894499,2.6255513054443797e-05,0.012806186065095239,0.9270363965812531,0.22366183190582203,0.01945576503807805,0.02031255902983289,14.0,25.0,2.0,2326.0,2475.0,False
0.06373374999999999,0.05726170734586108,0.9997026583258808,0.0,0.002423316334183291,0.21891652059117953,0.0,0.0,0.007388899844773931,0.015944647003250437,0.9270363965812531,0.17278435790788457,0.00869628041840524,0.007378824474529333,0.0,0.0,0.0,0.0,0.0,False
0.0,0.03342021502403321,1.0,0.0,0.004050554459854647,0.0,0.0,0.0,0.0,0.0,0.9270363965812531,0.0,0.0,0.0037275168367705766,0.0,0.0,0.0,0.0,0.0,False
0.040625,0.03342021502403321,1.0,0.0,0.0,0.09767313770146396,0.0,0.05344544308604483,6.882419414639128e-05,0.014086459182801105,0.9270363965812531,0.16638710362490078,0.007801830967352358,0.005127398039120627,0.0,0.0,0.0,0.0,0.0,False
0.125,0.03342021502403321,1.0,0.0,0.0,0.0,0.0,0.2696369246986746,0.0002975946571575376,0.024423213216586116,0.9270363965812531,0.24633883400614437,0.025726470890106934,0.008231671733412004,63.0,67.0,14.0,2672.0,2822.0,False
0.0,0.03882809489123921,1.0,0.0,0.12962694256591517,0.20171531235383347,0.0,0.03886941315348715,0.04118148264303052,0.02474783720621766,0.9270363965812531,0.1998572788677337,0.00880122462199205,0.09891101611702495,41.0,0.0,0.0,73.0,266.0,False
0.0,0.03342021502403321,1.0,0.0,0.15332826138196196,0.08232974738047674,0.0,0.026399328025585405,1.6988861388169517e-05,0.1382643482516302,0.9270363965812531,0.08543560541296441,0.00241200752496676,0.14956384881356252,0.0,0.0,0.0,0.0,0.0,False
0.0625,0.03342021502403321,1.0,0.0,0.024032105848123743,0.0026228017642713204,0.0,0.05923795738124326,0.00011728106015128387,0.012806186065095239,0.9270363965812531,0.22318579483792242,0.010183846157359545,0.021536280207024548,125.0,0.0,0.0,23.0,1088.0,False
0.0,0.03342021502403321,1.0,0.0,0.022047645676722374,0.0,0.0,0.0,0.0,0.0632762743896466,0.9270363965812531,0.0,0.0,0.035306444289336096,13.0,54.0,1.0,720.0,894.0,False
0.0,0.03342021502403321,1.0,0.0,0.018977603138476615,0.0,0.0,0.0,0.0,0.02617145430598954,0.9270363965812531,0.0,0.0,0.022018029761909728,12.0,10.0,0.0,58.0,764.0,False
0.0,0.03342021502403321,1.0,0.0,0.05105818078661284,0.0,0.0,0.0,0.0,0.017885006964647822,0.8071998874759024,0.0,0.0,0.040473737213470654,0.0,0.0,0.0,0.0,0.0,False
0.38749999999999996,0.03342021502403321,1.0,0.0,0.002359412308887661,0.025240095644837673,0.0,0.0,0.009066356851612624,0.031575034680979025,0.9270363965812531,0.2442655080998292,0.03351823038116733,0.012028195938855322,1728.0,251.0,194.0,3669.0,8305.0,False
0.0,0.03342021502403321,0.9950062578722778,0.13996193035494345,0.0,0.0,0.0,0.0,0.0,0.0,0.9270363965812531,0.0,0.0,0.0008970347602851445,26.0,0.0,0.0,12.0,653.0,False
0.008749999999999999,0.03342021502403321,1.0,0.0,0.0,0.12311431481489578,0.0,0.0,7.47123790593364e-05,0.0,0.9270363965812531,0.19887640853879116,0.0030894325947522895,0.0008970347602851445,14.0,10.0,3.0,114.0,176.0,False
0.049999999999999996,0.03342021502403321,1.0,0.0,0.024746724620290723,0.36537814244436384,0.0,0.06286466797552938,0.00045068746489411064,0.0085374347957626,0.9270363965812531,0.24755817280955458,0.010494623140082947,0.020753681310178136,14368.0,41.0,171.0,583.0,4607.0,False
0.0,0.03342021502403321,1.0,0.0,0.002874021671587228,0.0,0.0,0.0,0.0,0.0,0.9270363965812531,0.0,0.0,0.002905368905519737,0.0,0.0,0.0,0.0,0.0,False
0.03125,0.03342021502403321,0.8613700088974217,0.0,0.0,0.258673824001259,0.0,0.0350310586045803,0.0412477971190173,0.04465944084737158,0.9270363965812531,0.16910744399590374,0.005975774787421601,0.014308897611150843,59.0,4.0,0.0,233.0,383.0,False
